Rising Sun (1993);Action|Drama|Mystery;NoTags
Road to Wellville, The (1994);Comedy;NoTags
RoboCop 3 (1993);Action|Crime|Drama|Sci-Fi|Thriller;NoTags
Robin Hood: Men in Tights (1993);Comedy;NoTags
Romeo Is Bleeding (1993);Crime|Thriller;NoTags
Romper Stomper (1992);Action|Drama;Australia|racism|violence
Ruby in Paradise (1993);Drama;NoTags
Rudy (1993);Drama;football
Savage Nights (Nuits fauves, Les) (1992);Drama;NoTags
Schindler's List (1993);Drama|War;moving|thought-provoking|Holocaust|based on a true story|biography|disturbing|holocaust
Scout, The (1994);Comedy|Drama;NoTags
Searching for Bobby Fischer (1993);Drama;chess
Secret Garden, The (1993);Children|Drama;In Netflix queue
Serial Mom (1994);Comedy|Crime|Horror;NoTags
Shadow, The (1994);Action|Adventure|Fantasy|Mystery;NoTags
Shadowlands (1993);Drama|Romance;C.S. Lewis
Short Cuts (1993);Drama;large cast
Simple Twist of Fate, A (1994);Drama;NoTags
Sirens (1994);Drama;NoTags
Six Degrees of Separation (1993);Drama;race
Sleepless in Seattle (1993);Comedy|Drama|Romance;Empire State Building
Sliver (1993);Thriller;bad
Blade Runner (1982);Action|Sci-Fi|Thriller;sci-fi|robots|androids|artificial intelligence|atmospheric|cyberpunk|future|mindfuck|Philip K. Dick|atmospheric|dreamlike|existentialism|philosophical
Son in Law (1993);Comedy|Drama|Romance;NoTags
So I Married an Axe Murderer (1993);Comedy|Romance|Thriller;beat poetry
Striking Distance (1993);Action|Crime;NoTags
Super Mario Bros. (1993);Action|Adventure|Children|Comedy|Fantasy|Sci-Fi;NoTags
Surviving the Game (1994);Action|Adventure|Thriller;NoTags
Terminal Velocity (1994);Action|Mystery|Thriller;NoTags
Thirty-Two Short Films About Glenn Gould (1993);Drama|Musical;NoTags
Threesome (1994);Comedy|Romance;NoTags
Nightmare Before Christmas, The (1993);Animation|Children|Fantasy|Musical;Christmas|Halloween
Three Musketeers, The (1993);Action|Adventure|Comedy|Romance;knights
Tombstone (1993);Action|Drama|Western;NoTags
True Romance (1993);Crime|Thriller;NoTags
War Room, The (1993);Documentary;politics
Pagemaster, The (1994);Action|Adventure|Animation|Children|Fantasy;NoTags
Welcome to the Dollhouse (1995);Comedy|Drama;adolescence
Germinal (1993);Drama|Romance;NoTags
Chasers (1994);Comedy;NoTags
Kika (1993);Comedy|Drama;NoTags
Bhaji on the Beach (1993);Comedy|Drama;NoTags
Little Big League (1994);Comedy|Drama;NoTags
Ciao, Professore! (Io speriamo che me la cavo) (1992);Drama;NoTags
Spanking the Monkey (1994);Comedy|Drama;NoTags
Little Rascals, The (1994);Children|Comedy;NoTags
Andre (1994);Adventure|Children|Drama;NoTags
Escort, The (Scorta, La) (1993);Crime|Thriller;NoTags
Princess Caraboo (1994);Drama;NoTags
Celluloid Closet, The (1995);Documentary;NoTags
Dear Diary (Caro Diario) (1994);Comedy|Drama;NoTags
Brady Bunch Movie, The (1995);Comedy;NoTags
Home Alone (1990);Children|Comedy;christmas
Ghost (1990);Comedy|Drama|Fantasy|Romance|Thriller;overrated
Aladdin (1992);Adventure|Animation|Children|Comedy|Musical;Disney
Terminator 2: Judgment Day (1991);Action|Sci-Fi;apocalypse|Arnold Schwarzenegger|nuclear war|sci-fi|Suspense|time travel|robots|Scifi masterpiece
Dances with Wolves (1990);Adventure|Drama|Western;American Indians|Native Americans
Batman (1989);Action|Crime|Thriller;superhero
Silence of the Lambs, The (1991);Crime|Horror|Thriller;Hannibal Lector|disturbing|drama|gothic|psychology|suspense
Snow White and the Seven Dwarfs (1937);Animation|Children|Drama|Fantasy|Musical;Disney
Beauty and the Beast (1991);Animation|Children|Fantasy|Musical|Romance|IMAX;Disney
Pinocchio (1940);Animation|Children|Fantasy|Musical;Disney
Pretty Woman (1990);Comedy|Romance;prostitution
Wild Bunch, The (1969);Adventure|Western;NoTags
Love and a .45 (1994);Action|Comedy|Crime;NoTags
Great Day in Harlem, A (1994);Documentary;NoTags
One Fine Day (1996);Drama|Romance;NoTags
Candyman: Farewell to the Flesh (1995);Fantasy|Horror;NoTags
Fargo (1996);Comedy|Crime|Drama|Thriller;based on a true story|dark comedy|KIDNAPPING|Steve Buscemi|Coen Brothers
Homeward Bound II: Lost in San Francisco (1996);Adventure|Children;NoTags
Heavy Metal (1981);Action|Adventure|Animation|Horror|Sci-Fi;NoTags
Hellraiser: Bloodline (1996);Action|Horror|Sci-Fi;NoTags
Pallbearer, The (1996);Comedy;NoTags
Jane Eyre (1996);Drama|Romance;NoTags
Bread and Chocolate (Pane e cioccolata) (1973);Comedy|Drama;NoTags
Aristocats, The (1970);Animation|Children;Disney
Flower of My Secret, The (La flor de mi secreto) (1995);Comedy|Drama;NoTags
Two Much (1995);Comedy|Romance;NoTags
Ed (1996);Comedy;NoTags
Thin Line Between Love and Hate, A (1996);Comedy;NoTags
Last Supper, The (1995);Drama|Thriller;NoTags
Primal Fear (1996);Crime|Drama|Mystery|Thriller;edward norton|psychology|suspense|thought-provoking|twist ending|priest
All Dogs Go to Heaven 2 (1996);Adventure|Animation|Children|Fantasy|Musical|Romance;NoTags
Land and Freedom (Tierra y libertad) (1995);Drama|War;NoTags
Denise Calls Up (1995);Comedy;NoTags
Theodore Rex (1995);Comedy;NoTags
Family Thing, A (1996);Comedy|Drama;NoTags
Frisk (1995);Drama;NoTags
Sgt. Bilko (1996);Comedy;NoTags
Jack and Sarah (1995);Romance;babies
Girl 6 (1996);Comedy|Drama;NoTags
Diabolique (1996);Drama|Thriller;NoTags
Nelly & Monsieur Arnaud (1995);Drama;NoTags
Courage Under Fire (1996);Action|Crime|Drama|War;Gulf War
Mission: Impossible (1996);Action|Adventure|Mystery|Thriller;based on a TV show
Cold Fever (Á köldum klaka) (1995);Comedy|Drama;NoTags
Moll Flanders (1996);Drama;NoTags
Dragonheart (1996);Action|Adventure|Fantasy;NoTags
Eddie (1996);Comedy;NoTags
James and the Giant Peach (1996);Adventure|Animation|Children|Fantasy|Musical;NoTags
Fear (1996);Thriller;NoTags
Kids in the Hall: Brain Candy (1996);Comedy;NoTags
Underground (1995);Comedy|Drama|War;NoTags
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996);Action;NoTags
Song of the Little Road (Pather Panchali) (1955);Drama;India
World of Apu, The (Apur Sansar) (1959);Drama;India
Mystery Science Theater 3000: The Movie (1996);Comedy|Sci-Fi;spoof
Space Jam (1996);Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi;Bugs Bunny
Barbarella (1968);Adventure|Comedy|Sci-Fi;NoTags
Some Folks Call It a Sling Blade (1993);Drama|Thriller;NoTags
Run of the Country, The (1995);Drama;NoTags
Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965);Drama|Mystery|Romance|Sci-Fi|Thriller;NoTags
It's My Party (1996);Drama;NoTags
Operation Dumbo Drop (1995);Action|Adventure|Comedy|War;NoTags
Mrs. Winterbourne (1996);Comedy|Romance;NoTags
Solo (1996);Action|Sci-Fi|Thriller;NoTags
Substitute, The (1996);Action|Crime|Drama;NoTags
True Crime (1996);Mystery|Thriller;NoTags
Feeling Minnesota (1996);Drama|Romance;NoTags
Delta of Venus (1995);Drama;NoTags
Angus (1995);Comedy;NoTags
Boys (1996);Drama;NoTags
Quest, The (1996);Action|Adventure;NoTags
Sunset Park (1996);Drama;NoTags
Mulholland Falls (1996);Crime|Drama|Thriller;bad
Truth About Cats & Dogs, The (1996);Comedy|Romance;Veterinarian
Oliver & Company (1988);Adventure|Animation|Children|Comedy|Musical;NoTags
Celtic Pride (1996);Comedy;NoTags
Flipper (1996);Adventure|Children;NoTags
Dead Man (1995);Drama|Mystery|Western;NoTags
Horseman on the Roof, The (Hussard sur le toit, Le) (1995);Drama|Romance;NoTags
Visitors, The (Visiteurs, Les) (1993);Comedy|Fantasy|Sci-Fi;NoTags
Multiplicity (1996);Comedy;NoTags
Wallace & Gromit: The Best of Aardman Animation (1996);Adventure|Animation|Comedy;Aardman
Haunted World of Edward D. Wood Jr., The (1996);Documentary;NoTags
Craft, The (1996);Drama|Fantasy|Horror|Thriller;NoTags
Great White Hype, The (1996);Comedy;NoTags
Last Dance (1996);Drama;NoTags
Cold Comfort Farm (1995);Comedy;In Netflix queue
Heaven's Prisoners (1996);Crime|Thriller;NoTags
Rock, The (1996);Action|Adventure|Thriller;Alcatraz|Michael Bay|terrorism
Cemetery Man (Dellamorte Dellamore) (1994);Horror;NoTags
Twister (1996);Action|Adventure|Romance|Thriller;Disaster
Barb Wire (1996);Action|Sci-Fi;NoTags
Ghost in the Shell (Kôkaku kidôtai) (1995);Animation|Sci-Fi;NoTags
Thinner (1996);Horror|Thriller;NoTags
Spy Hard (1996);Comedy;NoTags
Wallace & Gromit: A Close Shave (1995);Animation|Children|Comedy;Aardman
Stupids, The (1996);Comedy;NoTags
Arrival, The (1996);Action|Sci-Fi|Thriller;aliens
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964);Comedy|War;dark comedy|Atomic bomb|black comedy|dark comedy|satire|purity of essence|Slim Pickens|black comedy|dark comedy|Quirky
Ashes of Time (Dung che sai duk) (1994);Drama;NoTags
Maya Lin: A Strong Clear Vision (1994);Documentary;NoTags
Stalingrad (1993);Drama|War;NoTags
Phantom, The (1996);Action|Adventure;NoTags
Striptease (1996);Comedy|Crime;NoTags
Heavy (1995);Drama|Romance;NoTags
Jack (1996);Comedy|Drama;NoTags
I Shot Andy Warhol (1996);Drama;NoTags
Touki Bouki (1973);Drama;NoTags
Spirits of the Dead (1968);Horror|Mystery;NoTags
Trainspotting (1996);Comedy|Crime|Drama;based on a book|dark comedy|narrated|drug abuse
'Til There Was You (1997);Drama|Romance;NoTags
Independence Day (a.k.a. ID4) (1996);Action|Adventure|Sci-Fi|Thriller;aliens
Stealing Beauty (1996);Drama;NoTags
Fan, The (1996);Drama|Thriller;NoTags
Hunchback of Notre Dame, The (1996);Animation|Children|Drama|Musical|Romance;NoTags
Cable Guy, The (1996);Comedy|Thriller;NoTags
Kingpin (1996);Comedy;NoTags
Eraser (1996);Action|Drama|Thriller;NoTags
Nutty Professor, The (1996);Comedy|Fantasy|Romance|Sci-Fi;NoTags
Unforgettable Summer, An (Un été inoubliable) (1994);Drama;NoTags
Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994);Documentary;NoTags
Somebody to Love (1994);Drama;NoTags
Daylight (1996);Action|Adventure|Drama|Thriller;NoTags
Frighteners, The (1996);Comedy|Horror|Thriller;NoTags
Lone Star (1996);Drama|Mystery|Western;In Netflix queue
Harriet the Spy (1996);Children|Comedy;NoTags
Phenomenon (1996);Drama|Romance;NoTags
Walking and Talking (1996);Comedy|Drama|Romance;NoTags
She's the One (1996);Comedy|Romance;NoTags
Time to Kill, A (1996);Drama|Thriller;John Grisham
American Buffalo (1996);Crime|Drama;NoTags
Alaska (1996);Adventure|Children;NoTags
Fled (1996);Action|Adventure;NoTags
Kazaam (1996);Children|Comedy|Fantasy;NoTags
Larger Than Life (1996);Comedy;NoTags
Very Brady Sequel, A (1996);Comedy;based on a TV show
Collector, The (La collectionneuse) (1967);Drama;NoTags
Kaspar Hauser (1993);Drama|Mystery;NoTags
Adventures of Pinocchio, The (1996);Adventure|Children;NoTags
Joe's Apartment (1996);Comedy|Fantasy|Musical;NoTags
First Wives Club, The (1996);Comedy;adultery
Ransom (1996);Crime|Thriller;kidnapping|GIVE ME BACK MY SON!|It was melodramatic and kind of dumb|Mel Gibson
High School High (1996);Comedy;NoTags
Foxfire (1996);Drama;NoTags
Chain Reaction (1996);Action|Adventure|Thriller;seen at the cinema
Matilda (1996);Children|Comedy|Fantasy;NoTags
Emma (1996);Comedy|Drama|Romance;Jane Austen
Crow: City of Angels, The (1996);Action|Thriller;NoTags
House Arrest (1996);Children|Comedy;NoTags
Eyes Without a Face (Yeux sans visage, Les) (1959);Horror;NoTags
Tales from the Crypt Presents: Bordello of Blood (1996);Comedy|Horror;NoTags
Spitfire Grill, The (1996);Drama;NoTags
Escape from L.A. (1996);Action|Adventure|Sci-Fi|Thriller;NoTags
Basquiat (1996);Drama;NoTags
Tin Cup (1996);Comedy|Drama|Romance;golf
Godfather, The (1972);Crime|Drama;Mafia
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992);Action|Comedy|Crime|Thriller;NoTags
Bound (1996);Crime|Drama|Romance|Thriller;NoTags
Carpool (1996);Comedy|Crime;NoTags
Kansas City (1996);Crime|Drama|Musical|Thriller;NoTags
Gone Fishin' (1997);Comedy;NoTags
Nothing to Lose (1994);Action|Crime|Drama;NoTags
Supercop 2 (Project S) (Chao ji ji hua) (1993);Action|Comedy|Crime|Thriller;NoTags
Relic, The (1997);Horror|Thriller;NoTags
Island of Dr. Moreau, The (1996);Sci-Fi|Thriller;NoTags
First Kid (1996);Children|Comedy;NoTags
Trigger Effect, The (1996);Drama|Thriller;NoTags
Bogus (1996);Children|Drama|Fantasy;NoTags
Bulletproof (1996);Action|Comedy|Crime;NoTags
Land Before Time III: The Time of the Great Giving (1995);Adventure|Animation|Children|Musical;NoTags
1-900 (06) (1994);Drama|Romance;NoTags
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995);Horror|Thriller;NoTags
Twelfth Night (1996);Comedy|Drama|Romance;Shakespeare
Mother Night (1996);Drama;NoTags
Wild Reeds (Les roseaux sauvages) (1994);Drama;NoTags
For Whom the Bell Tolls (1943);Adventure|Drama|Romance|War;NoTags
Philadelphia Story, The (1940);Comedy|Drama|Romance;divorce
Singin' in the Rain (1952);Comedy|Musical|Romance;movie business
American in Paris, An (1951);Musical|Romance;France
Funny Face (1957);Comedy|Musical;NoTags
Breakfast at Tiffany's (1961);Drama|Romance;Capote
Vertigo (1958);Drama|Mystery|Romance|Thriller;falling|Alfred Hitchcock|Atmospheric|imdb top 250|James Stewart
Rear Window (1954);Mystery|Thriller;voyeurism|imdb top 250|James Stewart|mystery|photographer|photography
It Happened One Night (1934);Comedy|Romance;Screwball
Gaslight (1944);Drama|Thriller;Brooch
Gay Divorcee, The (1934);Comedy|Musical|Romance;divorce
North by Northwest (1959);Action|Adventure|Mystery|Romance|Thriller;Mount Rushmore|Alfred Hitchcock|imdb top 250
Apartment, The (1960);Comedy|Drama|Romance;adultery
Some Like It Hot (1959);Comedy|Crime;men in drag
Charade (1963);Comedy|Crime|Mystery|Romance|Thriller;heist
Casablanca (1942);Drama|Romance;start of a beautiful friendship
Maltese Falcon, The (1941);Film-Noir|Mystery;statue
My Fair Lady (1964);Comedy|Drama|Musical|Romance;George Bernard Shaw
Sabrina (1954);Comedy|Romance;rich guy - poor girl
Roman Holiday (1953);Comedy|Drama|Romance;Italy|royalty
Little Princess, The (1939);Children|Drama;NoTags
Meet Me in St. Louis (1944);Musical;1900s
Wizard of Oz, The (1939);Adventure|Children|Fantasy|Musical;Dorothy|Toto
Gone with the Wind (1939);Drama|Romance|War;Civil War
My Favorite Year (1982);Comedy;television
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950);Drama|Film-Noir|Romance;movies|eerie|movie business
Citizen Kane (1941);Drama|Mystery;Rosebud
2001: A Space Odyssey (1968);Adventure|Drama|Sci-Fi;Hal|space|aliens|apes|Arthur C. Clarke|artificial intelligence|atmospheric|cinematography|classic|computer|confusing ending|cult film|Dull|future|futuristic|imdb top 250|masterpiece|meditative|music|mystery|Oscar (Best Effects - Visual Effects)|overrated|philosophical|relaxing|revolutionary|robots|sci-fi|setting:space/space ship|slow|slow paced|soundtrack|space|space travel|spacecraft|Stanley Kubrick|superb soundtrack|surreal|technology|tedious|visual|visually appealing
All About Eve (1950);Drama;Hollywood
Women, The (1939);Comedy;divorce
Rebecca (1940);Drama|Mystery|Romance|Thriller;Mrs. DeWinter
Foreign Correspondent (1940);Drama|Film-Noir|Mystery|Thriller;Europe|journalism|war
Notorious (1946);Film-Noir|Romance|Thriller;assassination
Spellbound (1945);Mystery|Romance|Thriller;amnesia
Affair to Remember, An (1957);Drama|Romance;NoTags
To Catch a Thief (1955);Crime|Mystery|Romance|Thriller;NoTags
Father of the Bride (1950);Comedy;wedding
Band Wagon, The (1953);Comedy|Musical;NoTags
Ninotchka (1939);Comedy|Romance;Cold War|Russia
Love in the Afternoon (1957);Comedy|Romance;NoTags
Gigi (1958);Musical;prostitution
Adventures of Robin Hood, The (1938);Action|Adventure|Romance;swashbuckler
Mark of Zorro, The (1940);Adventure;swashbuckler
Laura (1944);Crime|Film-Noir|Mystery;NoTags
Ghost and Mrs. Muir, The (1947);Drama|Fantasy|Romance;ghosts
Lost Horizon (1937);Drama;Shangri-La
Top Hat (1935);Comedy|Musical|Romance;Astaire and Rogers
To Be or Not to Be (1942);Comedy|Drama|War;NoTags
My Man Godfrey (1936);Comedy|Romance;butler|homeless|screwball
Giant (1956);Drama|Romance|Western;oil
East of Eden (1955);Drama;NoTags
Thin Man, The (1934);Comedy|Crime;Nick and Nora Charles
His Girl Friday (1940);Comedy|Romance;Screwball
Around the World in 80 Days (1956);Adventure|Comedy;race
It's a Wonderful Life (1946);Children|Drama|Fantasy|Romance;Christmas
Mr. Smith Goes to Washington (1939);Drama;Politics
Bringing Up Baby (1938);Comedy|Romance;leopard|screwball
Penny Serenade (1941);Drama|Romance;adoption
Of Human Bondage (1934);Drama;NoTags
Little Lord Fauntleroy (1936);Drama;NoTags
Inspector General, The (1949);Musical;NoTags
39 Steps, The (1935);Drama|Mystery|Thriller;fugitive
Night of the Living Dead (1968);Horror|Sci-Fi|Thriller;zombies
African Queen, The (1951);Adventure|Comedy|Romance|War;missionary
Beat the Devil (1953);Adventure|Comedy|Crime|Drama|Romance;crime
Cat on a Hot Tin Roof (1958);Drama;Tennessee Williams
Meet John Doe (1941);Comedy|Drama;journalism
Farewell to Arms, A (1932);Romance|War;Hemingway
Nothing Personal (1995);Drama|War;NoTags
Dangerous Ground (1997);Drama;NoTags
Picnic (1955);Drama;NoTags
Pompatus of Love, The (1996);Comedy|Drama;NoTags
Fly Away Home (1996);Adventure|Children;Animal movie
Bliss (1997);Drama|Romance;NoTags
Grace of My Heart (1996);Comedy|Drama;NoTags
Maximum Risk (1996);Action|Adventure|Thriller;NoTags
Michael Collins (1996);Drama;Ireland
Infinity (1996);Drama;NoTags
Big Night (1996);Comedy|Drama;food
Last Man Standing (1996);Action|Crime|Drama|Thriller;NoTags
Set It Off (1996);Action|Crime;NoTags
2 Days in the Valley (1996);Crime|Film-Noir;NoTags
Extreme Measures (1996);Drama|Thriller;NoTags
Glimmer Man, The (1996);Action|Thriller;NoTags
D3: The Mighty Ducks (1996);Children|Comedy;NoTags
Chamber, The (1996);Drama;death penalty|John Grisham
Apple Dumpling Gang, The (1975);Children|Comedy|Western;NoTags
Davy Crockett, King of the Wild Frontier (1955);Adventure|Western;NoTags
Escape to Witch Mountain (1975);Adventure|Children|Fantasy;NoTags
Love Bug, The (1969);Children|Comedy;Disney|race
Herbie Rides Again (1974);Children|Comedy|Fantasy|Romance;NoTags
Old Yeller (1957);Children|Drama;NoTags
Parent Trap, The (1961);Children|Comedy|Romance;twins
Pollyanna (1960);Children|Comedy|Drama;NoTags
Homeward Bound: The Incredible Journey (1993);Adventure|Children|Drama;NoTags
Shaggy Dog, The (1959);Children|Comedy;NoTags
Swiss Family Robinson (1960);Adventure|Children;NoTags
That Darn Cat! (1965);Children|Comedy|Mystery;NoTags
